Filenames,Emotion,Intensity,Phrase
01-01-01-01-01.wav,1,1,1
01-01-01-02-01.wav,1,1,1
01-01-02-01-01.wav,1,1,2
01-01-02-02-01.wav,1,1,2
02-01-01-01-01.wav,2,1,1
02-01-01-02-01.wav,2,1,1
02-01-02-01-01.wav,2,1,2
02-01-02-02-01.wav,2,1,2
02-02-01-01-01.wav,2,2,1
02-02-01-02-01.wav,2,2,1
02-02-02-01-01.wav,2,2,2
02-02-02-02-01.wav,2,2,2
03-01-01-01-01.wav,3,1,1
03-01-01-02-01.wav,3,1,1
03-01-02-01-01.wav,3,1,2
03-01-02-02-01.wav,3,1,2
03-02-01-01-01.wav,3,2,1
03-02-01-02-01.wav,3,2,1
03-02-02-01-01.wav,3,2,2
03-02-02-02-01.wav,3,2,2
04-01-01-01-01.wav,4,1,1
04-01-01-02-01.wav,4,1,1
04-01-02-01-01.wav,4,1,2
04-01-02-02-01.wav,4,1,2
04-02-01-01-01.wav,4,2,1
04-02-01-02-01.wav,4,2,1
04-02-02-01-01.wav,4,2,2
04-02-02-02-01.wav,4,2,2
05-01-01-01-01.wav,5,1,1
05-01-01-02-01.wav,5,1,1
05-01-02-01-01.wav,5,1,2
05-01-02-02-01.wav,5,1,2
05-02-01-01-01.wav,5,2,1
05-02-01-02-01.wav,5,2,1
05-02-02-01-01.wav,5,2,2
05-02-02-02-01.wav,5,2,2
06-01-01-01-01.wav,6,1,1
06-01-01-02-01.wav,6,1,1
06-01-02-01-01.wav,6,1,2
06-01-02-02-01.wav,6,1,2
06-02-01-01-01.wav,6,2,1
06-02-01-02-01.wav,6,2,1
06-02-02-01-01.wav,6,2,2
06-02-02-02-01.wav,6,2,2
07-01-01-01-01.wav,7,1,1
07-01-01-02-01.wav,7,1,1
07-01-02-01-01.wav,7,1,2
07-01-02-02-01.wav,7,1,2
07-02-01-01-01.wav,7,2,1
07-02-01-02-01.wav,7,2,1
07-02-02-01-01.wav,7,2,2
07-02-02-02-01.wav,7,2,2
08-01-01-01-01.wav,8,1,1
08-01-01-02-01.wav,8,1,1
08-01-02-01-01.wav,8,1,2
08-01-02-02-01.wav,8,1,2
08-02-01-01-01.wav,8,2,1
08-02-01-02-01.wav,8,2,1
08-02-02-01-01.wav,8,2,2
08-02-02-02-01.wav,8,2,2
01-01-01-01-03.wav,1,1,1
01-01-01-02-03.wav,1,1,1
01-01-02-01-03.wav,1,1,2
01-01-02-02-03.wav,1,1,2
02-01-01-01-03.wav,2,1,1
02-01-01-02-03.wav,2,1,1
02-01-02-01-03.wav,2,1,2
02-01-02-02-03.wav,2,1,2
02-02-01-01-03.wav,2,2,1
02-02-01-02-03.wav,2,2,1
02-02-02-01-03.wav,2,2,2
02-02-02-02-03.wav,2,2,2
03-01-01-01-03.wav,3,1,1
03-01-01-02-03.wav,3,1,1
03-01-02-01-03.wav,3,1,2
